2025-12-17T05:35:40.016Z [debug]: Order 5633992294593 (Date: 2023-12-04): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:35:40.016Z [debug]: Order 5634173436097 (Date: 2023-12-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:40.016Z [debug]: Order 5634873360577 (Date: 2023-12-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:40.016Z [debug]: Order 5635593306305 (Date: 2023-12-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:14.380Z [debug]: Order 5539719151776 (Date: 2023-12-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:14.381Z [debug]: Order 5539957407904 (Date: 2023-12-04): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:14.381Z [debug]: Order 5540272963744 (Date: 2023-12-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.378Z [debug]: Order 5633992294593 (Date: 2023-12-04): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T06:23:54.379Z [debug]: Order 5634173436097 (Date: 2023-12-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.379Z [debug]: Order 5634873360577 (Date: 2023-12-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:54.379Z [debug]: Order 5635593306305 (Date: 2023-12-04): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
