2025-12-17T05:35:43.838Z [debug]: Order 5712578445505 (Date: 2024-01-17): Payment Gateways: [gift_card] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:43.838Z [debug]: Order 5715518128321 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:43.838Z [debug]: Order 5715884900545 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:20.851Z [debug]: Order 5612926501024 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:20.851Z [debug]: Order 5613479526560 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:20.851Z [debug]: Order 5613574553760 (Date: 2024-01-17): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:20.851Z [debug]: Order 5613576814752 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:21.049Z [debug]: Order 5613669384352 (Date: 2024-01-17): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:21.049Z [debug]: Order 5613786923168 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:21.050Z [debug]: Order 5613803765920 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:21.050Z [debug]: Order 5614062141600 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:58.578Z [debug]: Order 5712578445505 (Date: 2024-01-17): Payment Gateways: [gift_card] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:58.578Z [debug]: Order 5715518128321 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:58.579Z [debug]: Order 5715884900545 (Date: 2024-01-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
