2025-12-10T18:15:16.215Z [debug]: Order 5618922848491 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:15:16.369Z [debug]: Order 5618937331947 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD), cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:16.369Z [debug]: Order 5619000606955 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.370Z [debug]: Order 5619029639403 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.370Z [debug]: Order 5619265798379 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.370Z [debug]: Order 5619330842859 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.525Z [debug]: Order 5619335102699 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.526Z [debug]: Order 5619366133995 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.526Z [debug]: Order 5619366232299 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.526Z [debug]: Order 5619377438955 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.527Z [debug]: Order 5619377471723 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.527Z [debug]: Order 5619383533803 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.527Z [debug]: Order 5619385598187 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.527Z [debug]: Order 5619392381163 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.528Z [debug]: Order 5619395428587 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.528Z [debug]: Order 5619396346091 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.528Z [debug]: Order 5619407356139 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.528Z [debug]: Order 5619411615979 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.528Z [debug]: Order 5619415056619 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.529Z [debug]: Order 5619423772907 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.529Z [debug]: Order 5619426033899 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.529Z [debug]: Order 5619427344619 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.529Z [debug]: Order 5619440124139 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.530Z [debug]: Order 5619443826923 (Date: 2024-01-26): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.530Z [debug]: Order 5619456114923 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.530Z [debug]: Order 5619514310891 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.530Z [debug]: Order 5619518079211 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.530Z [debug]: Order 5619532529899 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments, gift_card] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.530Z [debug]: Order 5619551961323 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.531Z [debug]: Order 5619569000683 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.684Z [debug]: Order 5619571392747 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:16.685Z [debug]: Order 5619573915883 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.685Z [debug]: Order 5619608125675 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:16.851Z [debug]: Order 5619665633515 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:16.852Z [debug]: Order 5619670221035 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:17.008Z [debug]: Order 5619716653291 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:17.009Z [debug]: Order 5619757711595 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:17.177Z [debug]: Order 5619793658091 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:17.178Z [debug]: Order 5619794313451 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:17.345Z [debug]: Order 5619797197035 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:17.345Z [debug]: Order 5619807092971 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:17.346Z [debug]: Order 5619807191275 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:17.346Z [debug]: Order 5619821936875 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:17.504Z [debug]: Order 5619834159339 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:17.505Z [debug]: Order 5619834978539 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:17.505Z [debug]: Order 5619867975915 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:17.506Z [debug]: Order 5619884097771 (Date: 2024-01-26): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:17.506Z [debug]: Order 5619896025323 (Date: 2024-01-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
