2025-12-10T18:15:43.108Z [debug]: Order 5634067693803 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:43.108Z [debug]: Order 5634121007339 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.108Z [debug]: Order 5634220130539 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:43.108Z [debug]: Order 5634455732459 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.108Z [debug]: Order 5634457075947 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.268Z [debug]: Order 5634473689323 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:43.269Z [debug]: Order 5634489417963 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:43.269Z [debug]: Order 5634492530923 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.425Z [debug]: Order 5634493481195 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:43.580Z [debug]: Order 5634511208683 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:43.581Z [debug]: Order 5634513502443 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:43.581Z [debug]: Order 5634531852523 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.582Z [debug]: Order 5634563408107 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:43.582Z [debug]: Order 5634564260075 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.582Z [debug]: Order 5634579595499 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.582Z [debug]: Order 5634595389675 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.583Z [debug]: Order 5634599223531 (Date: 2024-02-09): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.737Z [debug]: Order 5634616787179 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:43.738Z [debug]: Order 5634623471851 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:43.891Z [debug]: Order 5634623635691 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:43.891Z [debug]: Order 5634655027435 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:15:43.891Z [debug]: Order 5634666791147 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:15:44.045Z [debug]: Order 5634668167403 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:44.199Z [debug]: Order 5634670100715 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:44.354Z [debug]: Order 5634688319723 (Date: 2024-02-09): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:15:44.355Z [debug]: Order 5634690646251 (Date: 2024-02-09): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
