2025-12-17T05:35:55.689Z [debug]: Order 5768009449665 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:35:55.875Z [debug]: Order 5768104083649 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.932Z [debug]: Order 5663531958432 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.932Z [debug]: Order 5663998443680 (Date: 2024-02-20): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:29.932Z [debug]: Order 5664005849248 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.932Z [debug]: Order 5664010043552 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.932Z [debug]: Order 5664055099552 (Date: 2024-02-20): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:29.932Z [debug]: Order 5664075579552 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.932Z [debug]: Order 5664092029088 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.933Z [debug]: Order 5664157794464 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.933Z [debug]: Order 5664305545376 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:24:10.684Z [debug]: Order 5768009449665 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:10.865Z [debug]: Order 5768104083649 (Date: 2024-02-20): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
