2025-12-17T05:36:02.825Z [debug]: Order 5819135885505 (Date: 2024-03-27): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:34.366Z [debug]: Order 5714323144864 (Date: 2024-03-27): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:34.366Z [debug]: Order 5714347032736 (Date: 2024-03-27): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:34.366Z [debug]: Order 5714456510624 (Date: 2024-03-27): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.366Z [debug]: Order 5714475614368 (Date: 2024-03-27): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.367Z [debug]: Order 5714536923296 (Date: 2024-03-27): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:34.367Z [debug]: Order 5714829312160 (Date: 2024-03-27): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.367Z [debug]: Order 5714945638560 (Date: 2024-03-27): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:34.562Z [debug]: Order 5714958450848 (Date: 2024-03-27): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.562Z [debug]: Order 5714995544224 (Date: 2024-03-27): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.562Z [debug]: Order 5715089457312 (Date: 2024-03-27): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:34.758Z [debug]: Order 5715141886112 (Date: 2024-03-27): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:24:17.788Z [debug]: Order 5819135885505 (Date: 2024-03-27): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
