2025-12-17T05:35:45.284Z [debug]: Order 5990927139009 (Date: 2024-07-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:45.284Z [debug]: Order 5991211892929 (Date: 2024-07-15): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:35:45.284Z [debug]: Order 5991547338945 (Date: 2024-07-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:45.284Z [debug]: Order 5991621001409 (Date: 2024-07-15): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:35:45.285Z [debug]: Order 5991923548353 (Date: 2024-07-15): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:48:29.585Z [debug]: Order 5893933891744 (Date: 2024-07-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:48:29.585Z [debug]: Order 5894685425824 (Date: 2024-07-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:48:29.585Z [debug]: Order 5894740443296 (Date: 2024-07-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:59.333Z [debug]: Order 5990927139009 (Date: 2024-07-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:59.333Z [debug]: Order 5991211892929 (Date: 2024-07-15): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:23:59.333Z [debug]: Order 5991547338945 (Date: 2024-07-15): Payment Gateways: [Razorpay Secure] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:59.333Z [debug]: Order 5991621001409 (Date: 2024-07-15): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:23:59.333Z [debug]: Order 5991923548353 (Date: 2024-07-15): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
