2025-12-10T18:17:17.448Z [debug]: Order 5914859700459 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:17.448Z [debug]: Order 5914861633771 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:17.448Z [debug]: Order 5914876281067 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:17.636Z [debug]: Order 5914892009707 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:17.636Z [debug]: Order 5914897121515 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:17.825Z [debug]: Order 5914948174059 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:18.014Z [debug]: Order 5914965016811 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:18.014Z [debug]: Order 5915175452907 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.014Z [debug]: Order 5915179548907 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.015Z [debug]: Order 5915222606059 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.015Z [debug]: Order 5915235614955 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.015Z [debug]: Order 5915238858987 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.202Z [debug]: Order 5915242791147 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:18.203Z [debug]: Order 5915263828203 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.203Z [debug]: Order 5915275002091 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.203Z [debug]: Order 5915286536427 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.392Z [debug]: Order 5915295351019 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.392Z [debug]: Order 5915296465131 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.392Z [debug]: Order 5915297480939 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.577Z [debug]: Order 5915302920427 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:18.578Z [debug]: Order 5915322679531 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.578Z [debug]: Order 5915324907755 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.578Z [debug]: Order 5915325333739 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.578Z [debug]: Order 5915327332587 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.579Z [debug]: Order 5915334574315 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.579Z [debug]: Order 5915335622891 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.766Z [debug]: Order 5915350499563 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.767Z [debug]: Order 5915419508971 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.767Z [debug]: Order 5915468529899 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.767Z [debug]: Order 5915475083499 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.768Z [debug]: Order 5915484225771 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.768Z [debug]: Order 5915501723883 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.768Z [debug]: Order 5915511881963 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.768Z [debug]: Order 5915514962155 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.769Z [debug]: Order 5915519385835 (Date: 2024-09-10): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.769Z [debug]: Order 5915528855787 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.769Z [debug]: Order 5915545338091 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.769Z [debug]: Order 5915548942571 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.769Z [debug]: Order 5915567653099 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.958Z [debug]: Order 5915575156971 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.958Z [debug]: Order 5915582103787 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.959Z [debug]: Order 5915589968107 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.959Z [debug]: Order 5915595342059 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.959Z [debug]: Order 5915597373675 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.959Z [debug]: Order 5915605172459 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.959Z [debug]: Order 5915625160939 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.960Z [debug]: Order 5915647049963 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.960Z [debug]: Order 5915690238187 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.960Z [debug]: Order 5915694858475 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:18.960Z [debug]: Order 5915699413227 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:18.960Z [debug]: Order 5915705344235 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:19.147Z [debug]: Order 5915712717035 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:19.147Z [debug]: Order 5915729953003 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:19.147Z [debug]: Order 5915737948395 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:19.148Z [debug]: Order 5915738865899 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:19.148Z [debug]: Order 5915743518955 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:19.148Z [debug]: Order 5915749220587 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:19.148Z [debug]: Order 5915763736811 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:19.333Z [debug]: Order 5915768226027 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:19.334Z [debug]: Order 5915808596203 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:19.334Z [debug]: Order 5915817345259 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:19.334Z [debug]: Order 5915832615147 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:19.334Z [debug]: Order 5915835203819 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:19.335Z [debug]: Order 5915875082475 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:19.335Z [debug]: Order 5915877933291 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:19.335Z [debug]: Order 5915888517355 (Date: 2024-09-10): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:19.335Z [debug]: Order 5915939602667 (Date: 2024-09-10): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:16:21.857Z [debug]: Order 6043049132339 (Date: 2024-09-10): Payment Gateways: [PortOne Payments] | isCOD: false | isPrepaid: true | Cancelled: false
