2025-12-10T18:17:46.746Z [debug]: Order 5934083637483 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:46.747Z [debug]: Order 5934106869995 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.747Z [debug]: Order 5934185873643 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.747Z [debug]: Order 5934187315435 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.747Z [debug]: Order 5934208614635 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.747Z [debug]: Order 5934234927339 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.934Z [debug]: Order 5934389592299 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:46.934Z [debug]: Order 5934391754987 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.935Z [debug]: Order 5934440087787 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.935Z [debug]: Order 5934446936299 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.935Z [debug]: Order 5934449098987 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.935Z [debug]: Order 5934455619819 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.936Z [debug]: Order 5934477607147 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.936Z [debug]: Order 5934489370859 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.936Z [debug]: Order 5934493925611 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.936Z [debug]: Order 5934502084843 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.936Z [debug]: Order 5934503493867 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.936Z [debug]: Order 5934505492715 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.937Z [debug]: Order 5934507852011 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.937Z [debug]: Order 5934508179691 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.937Z [debug]: Order 5934508277995 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.937Z [debug]: Order 5934525776107 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.937Z [debug]: Order 5934530920683 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:46.937Z [debug]: Order 5934531313899 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.937Z [debug]: Order 5934533673195 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:46.937Z [debug]: Order 5934537965803 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.133Z [debug]: Order 5934544224491 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:47.133Z [debug]: Order 5934546977003 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.133Z [debug]: Order 5934548418795 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.332Z [debug]: Order 5934556119275 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:17:47.518Z [debug]: Order 5934563492075 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.519Z [debug]: Order 5934572568811 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.519Z [debug]: Order 5934575321323 (Date: 2024-09-27): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.706Z [debug]: Order 5934575616235 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.707Z [debug]: Order 5934588362987 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.707Z [debug]: Order 5934592622827 (Date: 2024-09-27): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.708Z [debug]: Order 5934593933547 (Date: 2024-09-27): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.708Z [debug]: Order 5934600356075 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.708Z [debug]: Order 5934606352619 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.708Z [debug]: Order 5934615003371 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.708Z [debug]: Order 5934624342251 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.709Z [debug]: Order 5934637449451 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.709Z [debug]: Order 5934639874283 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.709Z [debug]: Order 5934643347691 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.709Z [debug]: Order 5934645313771 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.709Z [debug]: Order 5934646624491 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.710Z [debug]: Order 5934661796075 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.710Z [debug]: Order 5934665793771 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.710Z [debug]: Order 5934667596011 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.710Z [debug]: Order 5934683488491 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.710Z [debug]: Order 5934686011627 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.711Z [debug]: Order 5934689616107 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.711Z [debug]: Order 5934701510891 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.711Z [debug]: Order 5934725890283 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.711Z [debug]: Order 5934727135467 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.711Z [debug]: Order 5934729822443 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.711Z [debug]: Order 5934730182891 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.711Z [debug]: Order 5934743552235 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.712Z [debug]: Order 5934758002923 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.712Z [debug]: Order 5934758035691 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.712Z [debug]: Order 5934766489835 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.712Z [debug]: Order 5934772420843 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.712Z [debug]: Order 5934773502187 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.712Z [debug]: Order 5934798143723 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.712Z [debug]: Order 5934801420523 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.712Z [debug]: Order 5934805975275 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.713Z [debug]: Order 5934828617963 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.713Z [debug]: Order 5934837367019 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.713Z [debug]: Order 5934841856235 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.713Z [debug]: Order 5934870659307 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.713Z [debug]: Order 5934904475883 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.713Z [debug]: Order 5934906802411 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.713Z [debug]: Order 5934914339051 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.714Z [debug]: Order 5934924005611 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.714Z [debug]: Order 5934948417771 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.714Z [debug]: Order 5934965883115 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.714Z [debug]: Order 5934977712363 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.714Z [debug]: Order 5934978826475 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.714Z [debug]: Order 5934984888555 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.714Z [debug]: Order 5934989508843 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.715Z [debug]: Order 5935002419435 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.715Z [debug]: Order 5935003599083 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.715Z [debug]: Order 5935015756011 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.715Z [debug]: Order 5935038529771 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.715Z [debug]: Order 5935054815467 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.715Z [debug]: Order 5935056879851 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:17:47.716Z [debug]: Order 5935072215275 (Date: 2024-09-27): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:17:47.716Z [debug]: Order 5935072379115 (Date: 2024-09-27): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:16:21.861Z [debug]: Order 6065766793523 (Date: 2024-09-27): Payment Gateways: [PortOne Payments] | isCOD: false | isPrepaid: true | Cancelled: false
