2025-12-10T18:18:55.587Z [debug]: Order 6010155958507 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:55.587Z [debug]: Order 6010208321771 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:55.588Z [debug]: Order 6010209534187 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:55.588Z [debug]: Order 6010563363051 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:55.588Z [debug]: Order 6010668417259 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:55.588Z [debug]: Order 6011229995243 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:55.588Z [debug]: Order 6011427520747 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:55.588Z [debug]: Order 6011525890283 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:55.589Z [debug]: Order 6011545026795 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:55.589Z [debug]: Order 6011561902315 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:55.589Z [debug]: Order 6011562393835 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:55.781Z [debug]: Order 6011609546987 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:55.782Z [debug]: Order 6011610857707 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:55.971Z [debug]: Order 6011619639531 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:55.971Z [debug]: Order 6011658764523 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:55.971Z [debug]: Order 6011672723691 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:55.971Z [debug]: Order 6011696513259 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:55.972Z [debug]: Order 6011720630507 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.160Z [debug]: Order 6011803631851 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:56.161Z [debug]: Order 6011808940267 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.161Z [debug]: Order 6011843772651 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.161Z [debug]: Order 6011850752235 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.162Z [debug]: Order 6011858419947 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.162Z [debug]: Order 6011861401835 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.162Z [debug]: Order 6011875098859 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.162Z [debug]: Order 6011881390315 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.162Z [debug]: Order 6011913404651 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.163Z [debug]: Order 6011934736619 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:18:56.163Z [debug]: Order 6011975598315 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:18:56.351Z [debug]: Order 6012013773035 (Date: 2024-11-30): Payment Gateways: [GoKwik Cash On Delivery, cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:18:56.352Z [debug]: Order 6012015542507 (Date: 2024-11-30): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
