2025-12-10T18:22:59.373Z [debug]: Order 6041985843435 (Date: 2024-12-21): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.373Z [debug]: Order 6042075857131 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.374Z [debug]: Order 6042079428843 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:59.374Z [debug]: Order 6042090635499 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:59.374Z [debug]: Order 6042093715691 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:59.374Z [debug]: Order 6042125828331 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.374Z [debug]: Order 6042128679147 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:59.374Z [debug]: Order 6042146177259 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:59.375Z [debug]: Order 6042162725099 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.375Z [debug]: Order 6042163413227 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.375Z [debug]: Order 6042168754411 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:59.375Z [debug]: Order 6042194870507 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.375Z [debug]: Order 6042198245611 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.376Z [debug]: Order 6042223509739 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:59.376Z [debug]: Order 6042232783083 (Date: 2024-12-21): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.376Z [debug]: Order 6042242908395 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:59.376Z [debug]: Order 6042271482091 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.376Z [debug]: Order 6042285670635 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.376Z [debug]: Order 6042317062379 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.377Z [debug]: Order 6042334003435 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:22:59.377Z [debug]: Order 6042369720555 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.377Z [debug]: Order 6042435387627 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.377Z [debug]: Order 6042447577323 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.560Z [debug]: Order 6042455933163 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:22:59.747Z [debug]: Order 6042487750891 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:22:59.747Z [debug]: Order 6042501415147 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:22:59.748Z [debug]: Order 6042641596651 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:17:01.327Z [debug]: Order 6213701173555 (Date: 2024-12-21): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:17:01.327Z [debug]: Order 6213706383667 (Date: 2024-12-21): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
