2025-12-17T05:37:25.643Z [debug]: Order 6282986225857 (Date: 2025-01-15): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.643Z [debug]: Order 6283038130369 (Date: 2025-01-15): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:25.643Z [debug]: Order 6283266359489 (Date: 2025-01-15): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:25.644Z [debug]: Order 6283874402497 (Date: 2025-01-15): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:05.209Z [debug]: Order 6152584888480 (Date: 2025-01-15): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:05.209Z [debug]: Order 6153016279200 (Date: 2025-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:05.210Z [debug]: Order 6153174810784 (Date: 2025-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:05.210Z [debug]: Order 6153178087584 (Date: 2025-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:05.210Z [debug]: Order 6153427288224 (Date: 2025-01-15): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:05.210Z [debug]: Order 6153448128672 (Date: 2025-01-15): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:38.534Z [debug]: Order 6282986225857 (Date: 2025-01-15): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.535Z [debug]: Order 6283038130369 (Date: 2025-01-15): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:38.535Z [debug]: Order 6283266359489 (Date: 2025-01-15): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:38.535Z [debug]: Order 6283874402497 (Date: 2025-01-15): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
