2025-12-17T05:37:26.580Z [debug]: Order 6305943322817 (Date: 2025-02-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:37:26.766Z [debug]: Order 6305950859457 (Date: 2025-02-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:37:26.953Z [debug]: Order 6305957380289 (Date: 2025-02-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:50:06.064Z [debug]: Order 6174439375008 (Date: 2025-02-01): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:06.064Z [debug]: Order 6174485479584 (Date: 2025-02-01): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:06.065Z [debug]: Order 6174622318752 (Date: 2025-02-01): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:06.065Z [debug]: Order 6175078678688 (Date: 2025-02-01): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:06.065Z [debug]: Order 6175650873504 (Date: 2025-02-01): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:39.470Z [debug]: Order 6305943322817 (Date: 2025-02-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T06:25:39.660Z [debug]: Order 6305950859457 (Date: 2025-02-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T06:25:39.891Z [debug]: Order 6305957380289 (Date: 2025-02-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
