2025-12-10T18:23:43.697Z [debug]: Order 6122424598763 (Date: 2025-03-01): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:43.698Z [debug]: Order 6122697195755 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.699Z [debug]: Order 6122924572907 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.699Z [debug]: Order 6122931650795 (Date: 2025-03-01): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:43.699Z [debug]: Order 6122952556779 (Date: 2025-03-01): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:43.699Z [debug]: Order 6122956980459 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.699Z [debug]: Order 6122974871787 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.700Z [debug]: Order 6123073765611 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.700Z [debug]: Order 6123075371243 (Date: 2025-03-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.700Z [debug]: Order 6123080712427 (Date: 2025-03-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.700Z [debug]: Order 6123081531627 (Date: 2025-03-01): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.700Z [debug]: Order 6123084841195 (Date: 2025-03-01): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.701Z [debug]: Order 6123091689707 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.701Z [debug]: Order 6123092705515 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.702Z [debug]: Order 6123094999275 (Date: 2025-03-01): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:43.702Z [debug]: Order 6123103027435 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.703Z [debug]: Order 6123110662379 (Date: 2025-03-01): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:43.703Z [debug]: Order 6123120558315 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.703Z [debug]: Order 6123166990571 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.703Z [debug]: Order 6123168104683 (Date: 2025-03-01): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:43.703Z [debug]: Order 6123176296683 (Date: 2025-03-01): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
