2025-12-17T05:37:31.103Z [debug]: Order 6391227121857 (Date: 2025-03-26): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: false
2025-12-17T05:37:31.103Z [debug]: Order 6391518200001 (Date: 2025-03-26): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:31.103Z [debug]: Order 6391606673601 (Date: 2025-03-26): Payment Gateways: [giftCard] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T05:37:31.103Z [debug]: Order 6391783784641 (Date: 2025-03-26): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:31.283Z [debug]: Order 6391790174401 (Date: 2025-03-26): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:37:31.284Z [debug]: Order 6391927734465 (Date: 2025-03-26): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:10.240Z [debug]: Order 6247808303264 (Date: 2025-03-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:10.240Z [debug]: Order 6248160821408 (Date: 2025-03-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:10.240Z [debug]: Order 6248227438752 (Date: 2025-03-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:10.240Z [debug]: Order 6248232747168 (Date: 2025-03-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:10.240Z [debug]: Order 6248281440416 (Date: 2025-03-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:10.240Z [debug]: Order 6248307458208 (Date: 2025-03-26): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:10.241Z [debug]: Order 6248370929824 (Date: 2025-03-26): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:43.951Z [debug]: Order 6391227121857 (Date: 2025-03-26): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: false
2025-12-17T06:25:43.952Z [debug]: Order 6391518200001 (Date: 2025-03-26): Payment Gateways: [Gokwik Cards] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:43.952Z [debug]: Order 6391606673601 (Date: 2025-03-26): Payment Gateways: [giftCard] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-17T06:25:43.952Z [debug]: Order 6391783784641 (Date: 2025-03-26): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:44.135Z [debug]: Order 6391790174401 (Date: 2025-03-26): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:25:44.135Z [debug]: Order 6391927734465 (Date: 2025-03-26): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
