2025-12-17T05:50:22.201Z [debug]: Order 6274513928352 (Date: 2025-04-17): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:22.202Z [debug]: Order 6274789802144 (Date: 2025-04-17): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:22.202Z [debug]: Order 6274817884320 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:22.202Z [debug]: Order 6274829418656 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:22.203Z [debug]: Order 6274989686944 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:22.203Z [debug]: Order 6275008102560 (Date: 2025-04-17): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:22.203Z [debug]: Order 6275047227552 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:22.203Z [debug]: Order 6275145105568 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:22.378Z [debug]: Order 6275173679264 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:50:22.378Z [debug]: Order 6275332243616 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:22.379Z [debug]: Order 6275383525536 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:22.379Z [debug]: Order 6275411935392 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:22.379Z [debug]: Order 6275419078816 (Date: 2025-04-17): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:22.379Z [debug]: Order 6275479732384 (Date: 2025-04-17): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
