2025-12-10T18:23:03.440Z [debug]: Order 6255383675115 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.440Z [debug]: Order 6255390785771 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.440Z [debug]: Order 6255507800299 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.440Z [debug]: Order 6256054042859 (Date: 2025-05-17): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.440Z [debug]: Order 6256085598443 (Date: 2025-05-17): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:03.440Z [debug]: Order 6256101196011 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.440Z [debug]: Order 6256180887787 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.441Z [debug]: Order 6256194846955 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.441Z [debug]: Order 6256233873643 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.441Z [debug]: Order 6256253010155 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.441Z [debug]: Order 6256263201003 (Date: 2025-05-17): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:03.441Z [debug]: Order 6256280502507 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.441Z [debug]: Order 6256286302443 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.623Z [debug]: Order 6256330866923 (Date: 2025-05-17): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-10T18:23:03.623Z [debug]: Order 6256333783275 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.624Z [debug]: Order 6256356688107 (Date: 2025-05-17): Payment Gateways: [Cash On Delivery, manual] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-10T18:23:03.624Z [debug]: Order 6256361013483 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.625Z [debug]: Order 6256364323051 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.625Z [debug]: Order 6256393093355 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.626Z [debug]: Order 6256452927723 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.626Z [debug]: Order 6256467837163 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.627Z [debug]: Order 6256500179179 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.627Z [debug]: Order 6256526917867 (Date: 2025-05-17): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.627Z [debug]: Order 6256553754859 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.628Z [debug]: Order 6256561914091 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.629Z [debug]: Order 6256673652971 (Date: 2025-05-17): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:23:03.629Z [debug]: Order 6256966664427 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:17:08.049Z [debug]: Order 6428038725939 (Date: 2025-05-17): Payment Gateways: [Ecom360 - Prepaid] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:17:08.226Z [debug]: Order 6428151349555 (Date: 2025-05-17): Payment Gateways: [Cash On Delivery] | isCOD: true | isPrepaid: false | Cancelled: true
