2025-12-17T05:37:23.737Z [debug]: Order 6633681060033 (Date: 2025-08-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:23.737Z [debug]: Order 6633921413313 (Date: 2025-08-13): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:37:23.737Z [debug]: Order 6633966534849 (Date: 2025-08-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:37:23.918Z [debug]: Order 6634017095873 (Date: 2025-08-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:37:24.098Z [debug]: Order 6634191519937 (Date: 2025-08-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T05:37:24.098Z [debug]: Order 6634495213761 (Date: 2025-08-13): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:17.022Z [debug]: Order 6426464452768 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.023Z [debug]: Order 6426525892768 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.023Z [debug]: Order 6426562953376 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.023Z [debug]: Order 6426562986144 (Date: 2025-08-13): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:17.023Z [debug]: Order 6426715357344 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.024Z [debug]: Order 6426777976992 (Date: 2025-08-13): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:17.024Z [debug]: Order 6426787381408 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.230Z [debug]: Order 6426823360672 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.230Z [debug]: Order 6426902200480 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.230Z [debug]: Order 6427053490336 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.231Z [debug]: Order 6427065909408 (Date: 2025-08-13): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:17.231Z [debug]: Order 6427080458400 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.430Z [debug]: Order 6427132330144 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T05:50:17.642Z [debug]: Order 6427263697056 (Date: 2025-08-13): Payment Gateways: [Cards, UPI, NB by PayU India] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T05:50:17.643Z [debug]: Order 6427264843936 (Date: 2025-08-13): Payment Gateways: [Cash on Delivery (COD)] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:36.406Z [debug]: Order 6633681060033 (Date: 2025-08-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:36.407Z [debug]: Order 6633921413313 (Date: 2025-08-13): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-17T06:25:36.407Z [debug]: Order 6633966534849 (Date: 2025-08-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-17T06:25:36.587Z [debug]: Order 6634017095873 (Date: 2025-08-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:25:36.774Z [debug]: Order 6634191519937 (Date: 2025-08-13): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-17T06:25:36.775Z [debug]: Order 6634495213761 (Date: 2025-08-13): Payment Gateways: [PayGlocal: Card Payments] | isCOD: false | isPrepaid: true | Cancelled: false
