2025-12-10T18:24:06.826Z [debug]: Order 6557237379307 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:06.827Z [debug]: Order 6557405184235 (Date: 2025-11-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:06.827Z [debug]: Order 6557469704427 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:06.827Z [debug]: Order 6557547331819 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.006Z [debug]: Order 6557780771051 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:07.007Z [debug]: Order 6557789815019 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.007Z [debug]: Order 6557831364843 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.007Z [debug]: Order 6557834510571 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.187Z [debug]: Order 6557837754603 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:07.188Z [debug]: Order 6557904601323 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.188Z [debug]: Order 6557920035051 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.368Z [debug]: Order 6557958209771 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:07.550Z [debug]: Order 6557964763371 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:07.730Z [debug]: Order 6557967581419 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:07.909Z [debug]: Order 6557987930347 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:07.909Z [debug]: Order 6558007165163 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.910Z [debug]: Order 6558044684523 (Date: 2025-11-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.910Z [debug]: Order 6558046159083 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.910Z [debug]: Order 6558060118251 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.910Z [debug]: Order 6558076240107 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.910Z [debug]: Order 6558091477227 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.911Z [debug]: Order 6558114316523 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:07.911Z [debug]: Order 6558116118763 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.089Z [debug]: Order 6558121820395 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:08.089Z [debug]: Order 6558125293803 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.089Z [debug]: Order 6558142726379 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.089Z [debug]: Order 6558142857451 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.090Z [debug]: Order 6558161043691 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.358Z [debug]: Order 6558195024107 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:08.358Z [debug]: Order 6558202953963 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.358Z [debug]: Order 6558204756203 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.359Z [debug]: Order 6558250434795 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.359Z [debug]: Order 6558271078635 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.359Z [debug]: Order 6558277468395 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.359Z [debug]: Order 6558286708971 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.360Z [debug]: Order 6558288380139 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.360Z [debug]: Order 6558309908715 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.360Z [debug]: Order 6558392680683 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.360Z [debug]: Order 6558408048875 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.361Z [debug]: Order 6558418764011 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.361Z [debug]: Order 6558424989931 (Date: 2025-11-14): Payment Gateways: [Cashfree Payments] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.361Z [debug]: Order 6558555144427 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.559Z [debug]: Order 6558635393259 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: true
2025-12-10T18:24:08.559Z [debug]: Order 6558672421099 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.560Z [debug]: Order 6558721638635 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-10T18:24:08.560Z [debug]: Order 6558774395115 (Date: 2025-11-14): Payment Gateways: [manual] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:10:05.194Z [debug]: Order 6240348209341 (Date: 2025-11-14): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: true
2025-12-11T04:10:05.194Z [debug]: Order 6240509231293 (Date: 2025-11-14): Payment Gateways: [Gokwik UPI] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:10:05.195Z [debug]: Order 6240834519229 (Date: 2025-11-14): Payment Gateways: [] | isCOD: false | isPrepaid: false | Cancelled: false
2025-12-11T04:10:05.195Z [debug]: Order 6240878035133 (Date: 2025-11-14): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:10:05.195Z [debug]: Order 6240883966141 (Date: 2025-11-14): Payment Gateways: [cash_on_delivery] | isCOD: true | isPrepaid: false | Cancelled: false
2025-12-11T04:17:06.209Z [debug]: Order 6733080232243 (Date: 2025-11-14): Payment Gateways: [1 Razorpay] | isCOD: false | isPrepaid: true | Cancelled: false
2025-12-11T04:17:06.209Z [debug]: Order 6733464371507 (Date: 2025-11-14): Payment Gateways: [GoKwik Cash on Delivery] | isCOD: true | isPrepaid: false | Cancelled: false
